project,cluster,num_options,num_files
subql,-1,51,10
immutable-js,11,33,3
superset,-1,32,30
vue-pure-admin,-1,37,1
node,-1,141,2
typescript-go,-1,26,6
shardeum,7,21,2
egg,-1,23,3
halo,5,21,6
nuxt,-1,1,2
grapesjs,-1,30,3
storybook,-1,72,56
commitlint,-1,16,22
turborepo,-1,74,87
unocss,-1,135,29
harbor,-1,15,3
table,-1,49,100
swc,-1,16,7
nx,-1,86,149
Avalonia,-1,24,2
github1s,-1,33,4
next.js,-1,143,200
SwitchHosts,-1,34,1
platform,-1,41,410
backstage,-1,67,7
ink,-1,13,1
react-three-fiber,-1,33,2
react,11,24,13
preact,-1,9,1
react-native,-1,11,4
codex,6,9,2
qinglong,-1,34,2
tailscale,-1,16,2
aspnetcore,-1,22,8
chakra-ui,-1,68,17
babel,-1,13,158
vault,-1,8,2
yjs,-1,17,1
umami,-1,41,2
driver.js,-1,27,2
cline,-1,47,5
strapi,-1,59,60
arthas,8,22,1
typesense,-1,24,1
spacedrive,-1,68,14
ui,-1,48,8
puppeteer,-1,19,9
fuels-ts,-1,38,32
rrweb,-1,56,22
dify,11,25,1
composio,-1,25,29
meteor,-1,14,4
DeepSpeech,-1,16,1
bokeh,-1,51,6
docs,11,25,1
immich,-1,28,6
rollup,-1,41,3
biome,-1,28,4
Ghost,1,1,12
xyflow,9,31,6
ionic-framework,-1,55,8
socket.io,3,23,23
Bilibili-Evolved,-1,28,4
react-native-vector-icons,-1,35,28
conductor,10,18,1
label-studio,-1,26,10
vueuse,-1,52,2
LibreChat,-1,55,5
hey,-1,34,8
spaCy,11,20,1
axios,2,5,1
tauri,-1,11,2
google-research,11,23,2
gradio,-1,17,5
phoenix,-1,6,1
vant,-1,24,9
pnpm,-1,26,172
taro,3,88,75
AdminLTE,0,2,2
jan,-1,47,10
harness,-1,34,2
openapi-generator,-1,42,57
element-plus,-1,21,2
windows95,6,27,1
angular-cli,-1,57,6
hono,-1,29,5
airflow,1,1,4
prometheus,10,27,3
slint,-1,49,10
draggable,-1,15,1
coc.nvim,-1,30,1
bruno,-1,24,5
mkdocs-material,5,31,1
dashy,-1,25,1
outline,-1,33,1
docusaurus,-1,38,41
void,-1,87,45
streamlit,-1,50,8
filebrowser,1,1,1
ice,-1,44,76
webpack,-1,20,3
slidev,-1,48,6
tiptap,-1,32,2
apollo-client,-1,39,9
parcel,7,11,9
mermaid,-1,27,8
json-server,-1,3,1
bit,-1,43,10
postiz-app,-1,48,11
react-navigation,-1,4,14
n8n,-1,88,44
EasySpider,-1,22,1
linera-protocol,-1,32,5
heroui,-1,58,89
video.js,-1,10,1
Perplexica,11,22,1
llvm-project,7,8,4
redux,10,27,3
sst,-1,86,150
pyscript,-1,8,1
JeecgBoot,8,44,1
lexical,-1,231,11
lerna,-1,10,39
components,-1,62,39
ollama,1,1,1
novu,-1,80,35
zustand,10,20,2
llama.cpp,1,1,1
query,-1,84,88
create-t3-app,-1,8,4
react-hook-form,-1,36,3
TypeScript,-1,6,14
monaco-editor,4,37,9
everyone-can-use-english,3,22,3
cal.com,-1,167,25
ionicons,2,19,1
guidance,-1,11,2
rust,-1,10,2
react-scan,-1,57,7
mantine,-1,63,28
amis,-1,71,10
ToolJet,4,23,79
joplin,-1,16,22
OpenHands,7,13,3
darkreader,-1,19,2
ava,-1,4,3
discord.js,-1,32,28
union,5,81,12
remix,-1,37,36
marked,-1,11,1
CopilotKit,-1,71,49
code-server,-1,29,1
homebridge,-1,22,1
decap-cms,-1,29,2
appium,-1,41,19
zed,-1,1059,1
nocodb,6,57,8
mem0,-1,50,8
graphql-js,11,30,2
kit,-1,30,13
autocomplete,-1,13,1
vector,-1,17,1
graphql,-1,82,81
KaTeX,-1,5,1
Langchain-Chatchat,11,32,1
posthog,-1,63,13
argo-cd,4,17,2
redoc,-1,36,2
flink,-1,25,1
teleport,-1,31,2
servers,4,14,5
budibase,-1,46,12
FastGPT,-1,51,9
tabby,-1,60,5
uni-app,4,88,49
excalidraw,-1,55,9
quasar,-1,35,14
vite,-1,52,24
trpc,-1,65,37
semantic-kernel,1,1,2
v8,-1,64,1
relay,7,10,1
refine,-1,107,246
teable,-1,85,11
gun,-1,30,3
agentic,-1,26,88
pulumi,-1,121,1
focalboard,-1,30,10
trilium,-1,30,21
logseq,-1,16,9
uppy,-1,46,52
open-webui,-1,3,2
xterm.js,-1,63,31
etcher,6,19,1
phaser,2,10,1
twenty,-1,60,9
pdf.js,2,21,1
bootstrap,-1,7,1
redash,-1,24,3
memos,9,19,1
react-redux,11,23,2
RSSHub,-1,19,1
sentry,-1,10,1
matomo,8,31,2
uptime-kuma,-1,12,1
electron,-1,13,2
react-bootstrap,-1,29,2
flatbuffers,-1,17,2
payload,0,7,76
chroma,-1,49,22
electron-react-boilerplate,-1,18,1
supabase,-1,67,41
cube,-1,49,50
cobalt,7,10,2
Wox,5,24,2
firecrawl,1,3,5
directus,-1,46,34
anime,-1,15,1
selenium,10,20,1
onlook,-1,41,24
bun,-1,82,29
eslint,-1,16,1
refined-github,-1,18,1
react-spring,-1,60,41
Inquirer.js,-1,7,18
wg-easy,-1,1,2
AgentGPT,11,26,2
cypress,-1,70,46
gatsby,-1,64,34
Chat2DB,-1,4,1
ray,10,18,1
intro.js,-1,29,1
daytona,-1,24,8
theia,-1,39,87
recharts,-1,11,2
svelte,-1,46,3
next-auth,-1,71,45
jest,1,21,60
react-admin,-1,46,26
tldraw,-1,103,44
anki,4,23,2
compiler-explorer,-1,11,5
Babylon.js,-1,92,79
OI-wiki,-1,13,1
material-ui,-1,77,38
mlflow,-1,38,6
svgo,-1,17,1
mediapipe,-1,34,1
styled-components,11,20,2
dockge,-1,7,1
astro,0,23,57
NextChat,11,23,1
mocha,0,1,1
vue-vben-admin,-1,22,38
xstate,-1,34,53
floating-ui,-1,18,10
khoj,11,35,2
mobx,-1,27,5
Clash-for-Windows_Chinese,3,8,1
lobe-chat,-1,57,3
qwik,-1,119,12
lit,-1,89,56
dioxus,-1,20,5
ccxt,-1,34,6
ant-design-pro,-1,18,1
drizzle-orm,-1,46,9
prefect,8,28,2
clash-verge-rev,9,21,1
tidb,-1,17,1
react-router,-1,60,48
mitmproxy,-1,6,1
cherry-studio,1,1,1
continue,-1,38,16
headlessui,-1,39,5
hexo,-1,11,1
upscayl,11,39,2
Folo,-1,76,20
yew,-1,2,1
hoppscotch,-1,68,15
locust,-1,19,1
dokploy,-1,14,4
infisical,1,1,2
mdx,-1,1,10
beekeeper-studio,-1,29,3
carbon-lang,7,9,1
fabric.js,-1,23,4
ignite,-1,42,2
ant-design-vue,-1,36,2
solid,-1,17,10
crawlee,-1,21,38
postcss,-1,6,1
esbuild,-1,1,4
sharp,0,4,1
prisma,-1,24,44
react-testing-library,-1,4,1
ip2region,-1,5,1
metabase,-1,45,8
appsmith,-1,72,15
angular,-1,64,58
motion,-1,62,9
swr,-1,42,6
plane,-1,58,16
mongoose,-1,4,2
signoz,-1,44,1
bulletproof-react,11,29,3
zx,-1,14,1
dash,-1,35,3
graphql-engine,-1,52,23
vant-weapp,-1,20,1
jotai,10,20,8
gitbook,-1,20,9
retrofit,0,4,1
ember.js,-1,21,2
